Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of the Jackal	100	1	1	4		3				3	26	hp		1	5										shld	pelt											0	0
of the Fox	100	1	1	11		8				3	26	hp		6	10										shld	pelt											0	0
of the Wolf	100	1	1	27		20				3	26	hp		11	20										shld	pelt											0	0
of the Tiger	100	1	1	43		35				3	26	hp		21	30										shld	pelt											0	0
of the Mammoth	100	1	1	59		51				3	26	hp		31	40									cred	shld	pelt											0	0
of the Colosuss	100	1		75		67				3	26	hp		41	60									cred	shld	pelt											0	0
of the Jackal	1	1	1	8		6				3	26	hp		1	5										club	hamm	mace	ring	helm								0	0
of the Fox	1	1	1	17		13				3	26	hp		6	10										club	hamm	mace	ring	helm								0	0
of the Wolf	1	1	1	34		26				3	26	hp		11	20										club	hamm	mace	ring	helm								0	0
of the Tiger	1	1	1	51		43				3	26	hp		21	30										club	hamm	mace	ring	helm								0	0
of the Mammoth	1	1	1	68		60				3	26	hp		31	40									cred	club	hamm	mace	ring	helm								0	0
of Spirit	100	1	1	1		1				4	26	hp		3	8										jewl												0	0
of Hope	100	1		45		37				4	26	hp		9	20										jewl												0	0
of the Leopard	100	1		3		1				18	26	hp		1	2									lgld	tors	belt	phlm	pelt	shld								0	0
of the Ox	100	1		16		12				16	26	hp		8	10										tors	belt	phlm	pelt	shld								0	0
of the Orca	100	1		26		23				14	26	hp		18	30									whit	tors	belt	phlm	pelt	shld								0	0
of the Raptor	100	1		37		29				12	26	hp		35	80										tors	belt	phlm	pelt	shld								0	0
of the Lion	100	1		53		42				10	26	hp		80	150										tors	belt	phlm	pelt	shld								0	0
of the Whale	100	1		65		55				8	26	hp		100	210										tors	belt	phlm	pelt	shld								0	0
of Vitality	100	1		8		6				7	26	hp%		1	3										tors	belt	phlm	pelt	shld								0	0
of Liveliness	100	1		21		17				6	26	hp%		1	6										tors	belt	phlm	pelt	shld								0	0
of Good Health	100	1		31		28				5	26	hp%		2	8										tors	belt	phlm	pelt	shld								0	0
of the Bard	100	1		42		34				4	26	hp%		7	15										tors	belt	phlm	pelt	shld								0	0
of Good Company	100	1		58		47				3	26	hp%		10	18										tors	belt	phlm	pelt	shld								0	0
of Legends	100	1		70		60				2	26	hp%		17	20										tors	belt	phlm	pelt	shld								0	0
of Improving Health	100	1		3		1				12	26	hp/lvl	4												tors	belt	phlm	pelt	shld								0	0
of Resplendent Health	100	1		16		12				10	26	hp/lvl	8												tors	belt	phlm	pelt	shld								0	0
of Robust Health	100	1		26		23				8	26	hp/lvl	12												tors	belt	phlm	pelt	shld								0	0
of Long Life	100	1		37		29				6	26	hp/lvl	16												tors	belt	phlm	pelt	shld								0	0
of Dreams	100	1		53		42				4	26	hp/lvl	20											dblu	tors	belt	phlm	pelt	shld								0	0
of October Dreams	100	1		65		55				2	26	hp/lvl	24											oran	tors	belt	phlm	pelt	shld								0	0
																																						
of the Eel	1	1	1	6		4				7	27	lifesteal		4	5									cgrn	weap	misl						orb	staf	wand			0	0
of the Moray	1	1	1	20		15				7	27	lifesteal		6	7									cgrn	mele	misl						orb	staf	wand			0	0
of the Mosquito	100	1	1	55		43				7	27	lifesteal		8	9									blac	mele	misl						orb	staf	wand			0	0
of the Eel	1	1	1	14		10				4	27	lifesteal		3	4									cgrn	ring	circ											0	0
of the Moray	1	1	1	47		35				4	27	lifesteal		5	6									cgrn	ring	circ											0	0
of the Mosquito	100	1	1	77		65				4	27	lifesteal		7	8									blac	ring	circ											0	0
of the Eel	1	1	1	34		26				4	27	lifesteal		3	3									cgrn	glov												0	0
of the Eel	100	1	1	24		20				2	27	lifesteal		2	3									cgrn	amul												0	0
of the Moray	100	1	1	57		45				2	27	lifesteal		4	5									cgrn	amul												0	0
of the Mosquito	100	1	1	85		73				2	27	lifesteal		6	6									blac	amul												0	0
of the Leech	100	1		7		4				8	27	lifesteal		6	8										weap	misl											0	0
of the Locust	100	1		21		16				6	27	lifesteal		9	11									cred	weap	misl											0	0
of the Lamprey	100	1		56		48				4	27	lifesteal		12	14									cred	weap	misl											0	0
of the Leech	100	1		7		4				8	27	lifesteal		5	6										amul												0	0
of the Locust	100	1		21		16				6	27	lifesteal		8	9									cred	amul												0	0
of the Lamprey	100	1		56		48				4	27	lifesteal		11	12									cred	amul												0	0
of the Leech	100	1		7		4				8	27	lifesteal		3	5										glov	ring											0	0
of the Locust	100	1		21		16				6	27	lifesteal		6	8									cred	glov	ring											0	0
of the Lamprey	100	1		56		48				4	27	lifesteal		9	9									cred	glov	ring											0	0
																																						
of the Bat	1	1	1	7		4				7	28	manasteal		4	5										weap	misl											0	0
of the Wraith	1	1	1	21		16				7	28	manasteal		6	7									cred	mele	misl											0	0
of the Vampire	100	1	1	56		48				7	28	manasteal		8	9									cred	mele	misl											0	0
of the Bat	1	1	1	15		11				4	28	manasteal		3	4										amul	circ											0	0
of the Wraith	1	1	1	58		40				4	28	manasteal		5	6										amul	circ											0	0
of the Vampire	100	1	1	78		66				4	28	manasteal		7	8									cred	amul	circ											0	0
of the Bat	1	1	1	35		27				4	28	manasteal		3	3									cred	glov												0	0
of the Bat	1	1	1	25		21				2	28	manasteal		2	3										ring												0	0
of the Wraith	1	1	1	58		46				2	28	manasteal		4	5										ring												0	0
of the Vampire	100	1	1	86		74				2	28	manasteal		6	6									cred	ring												0	0
of Spirits	100	1		7		4				8	28	manasteal		6	8									cblu	weap	misl											0	0
of Ghosts	100	1		21		16				6	28	manasteal		9	11									cblu	weap	misl											0	0
of Specters	100	1		56		48				4	28	manasteal		12	14									cblu	weap	misl											0	0
of Spirits	100	1		7		4				8	28	manasteal		5	6									cblu	amul												0	0
of Ghosts	100	1		21		16				6	28	manasteal		8	9									cblu	amul												0	0
of Specters	100	1		56		48				4	28	manasteal		11	12									cblu	amul												0	0
of Spirits	100	1		7		4				8	28	manasteal		3	5									cblu	glov	ring											0	0
of Ghosts	100	1		21		16				6	28	manasteal		6	8									cblu	glov	ring											0	0
of Specters	100	1		56		48				4	28	manasteal		9	9									cblu	glov	ring											0	0
																																						
of Defiance	1	1	1	25		18				2	29	res-pois-len		75	75									dred	tors	shld	amul	circ									0	0
of Amelioration	1	1	1	18		13				3	29	res-pois-len		50	50										tors	shld	amul	circ									0	0
of Remedy	100	1	1	7		5				3	29	res-pois-len		25	25										armo	ring	amul	circ									0	0
																																						
of Simplicity	1	1	1	25		18				2	30	ease		-30	-30										tors	weap	shld					rod	orb	staf			0	0
of Ease	1	1	1	15		11				3	30	ease		-20	-20										tors	weap	shld					rod	orb	staf			0	0
of Freedom	100	1	1	1		1				3	30	ease		-30	-30										jewl												0	0
																																						
of Strength	1	1	1	1		1				4	31	str		1	2										amul	belt	club	hamm	circ			rod	orb	staf			0	0
of Might	1	1	1	10		8				3	31	str		3	5										amul	belt	club	hamm	circ			rod	orb	staf			0	0
of the Ox	1	1	1	26		19				3	31	str		6	9										amul	belt	club	hamm	circ			rod	orb	staf			0	0
of the Giant	1	1	1	42		34				3	31	str		10	15										amul	belt	club	hamm	circ			rod	orb	staf			0	0
of the Titan	1	1	1	58		50				3	31	str		16	20									dgld	amul	belt	club	hamm	circ			rod	orb	staf			0	0
of Atlus	100	1	1	71		63				3	31	str		21	30									dgld	amul	belt	club	hamm	circ			rod	orb	staf			0	0
of Strength	1	1	1	5		3				4	31	str		1	2										ring	scep	mace	tors									0	0
of Might	1	1	1	21		15				3	31	str		3	5										ring	scep	mace	tors									0	0
of the Ox	1	1	1	38		30				3	31	str		6	9										ring	scep	mace	tors									0	0
of the Giant	1	1	1	55		47				3	31	str		10	15										ring	scep	mace	tors									0	0
of the Titan	100	1	1	74		66				3	31	str		16	20									dgld	ring	scep	mace	tors									0	0
of Strength	1	1	1	12		8				3	31	str		1	2										mele	glov	shld					blun					0	0
of Might	1	1	1	33		25				3	31	str		3	5										mele	glov	shld					blun					0	0
of the Ox	1	1	1	45		37				3	31	str		6	9										mele	glov	shld					blun					0	0
of the Giant	100	1	1	59		51				3	31	str		10	15									dgld	mele	glov						blun					0	0
of Virility	100	1	1	18		13				4	31	str		1	4										jewl												0	0
of Virility	100	1	1	33		25				4	31	str		5	6										jewl												0	0
of Virility	100	1	1	50		42				4	31	str		7	9										jewl												0	0
of Strength	1	1	1	1	11	1				4	31	str		1	1										glov												0	0
of Strength	1	1	1	1	4	1				4	31	str		1	1										ring												0	0
of Heartiness	100	1		1		1				10	31	str		2	4										armo	mele	amul										0	0
of Toughness	100	1		11		8				8	31	str		6	10										armo	mele	amul										0	0
of Power	100	1		27		20				6	31	str		12	18										armo	mele	amul										0	0
of Raw Strength	100	1		43		35				4	31	str		20	30										armo	mele	amul										0	0
of Raw Power	100	1		59		51				2	31	str		32	40										armo	mele	amul										0	0
of Incredible Strength	100	1		72		64				1	31	str		42	60										armo	mele	amul										0	0
of Incredible Power																																						
of the Strongman	100	1		1		1				10	31	str%		1	2										armo	mele	amul										0	0
of the Strong	100	1		11		8				8	31	str%		3	5										armo	mele	amul										0	0
of the Powerful	100	1		27		20				6	31	str%		8	12										armo	mele	amul										0	0
of the Righteous	100	1		43		35				4	31	str%		14	19										armo	mele	amul										0	0
of the Virtuous	100	1		59		51				2	31	str%		18	25										armo	mele	amul										0	0
of the All-Powerful	100	1		72		64				1	31	str%		19	30										armo	mele	amul										0	0
of Strengthening	100	1		1		1				10	31	str/lvl	3												armo	mele	amul										0	0
of Empowering	100	1		11		8				8	31	str/lvl	4												armo	mele	amul										0	0
of Embiggening	100	1		27		20				6	31	str/lvl	5												armo	mele	amul										0	0
of Bolstering	100	1		43		35				4	31	str/lvl	6												armo	mele	amul										0	0
of Invigoration	100	1		59		51				2	31	str/lvl	7												armo	mele	amul										0	0
of Sinewing	100	1		72		64				1	31	str/lvl	8												armo	mele	amul										0	0
																																						
of Swift Learning	100	1		1		1				6	32	addxp		3	5										helm	amul	ring										0	0
of Knowledge	100	1		12		12				4	32	addxp		7	10										helm	amul	ring										0	0
of Wisdom	100	1		40		40				2	32	addxp		8	15										helm	amul	ring										0	0
																																						
of Confidence	100	1		53		30					33	all-skills		1	1										weap	belt											0	0
																																						
of Royalty	100	1		5		3				4	34	all-stats		1	1										helm	belt	ring	jewl									0	0
of Regality	100	1		26		22				3	34	all-stats		4	6										helm	belt	ring	jewl									0	0
of the Boyar	100	1		43		35				2	34	all-stats		5	8										helm	belt	ring										0	0
of the Horadrim	100	1		65		55				1	34	all-stats		10	18										helm	belt	ring										0	0
																																						
of Pacing	1	1	1	12		8				3	35	move1		10	10										boot	circ											0	0
of Haste	1	1	1	22		16				4	35	move2		20	20										boot	circ											0	0
of Speed	1	1	1	37		29				4	35	move3		30	30										boot	circ											0	0
of Traveling	100	1		65		57				4	35	move3		30	30	stamdrain		80	90						boot												0	0
of Acceleration	100	1		51		43				4	35	move3		40	40										boot												0	0
																																						
of Charged Bolt	100	1	1	1	15	1				18	36	charged	Charged Bolt	20	3										staf	orb	wand										0	0
of Charged Bolt	100	1	1	10	35	10				12	36	charged	Charged Bolt	20	10										staf	orb	wand										0	0
of Charged Bolt	100	1	1	30		30				6	36	charged	Charged Bolt	20	25										staf	orb	wand										0	0
of Fire Bolt	100	1	1	1	15	1				18	36	charged	Fire Bolt	20	3										staf	orb	wand										0	0
of Fire Bolt	100	1	1	10	35	10				12	36	charged	Fire Bolt	20	10										staf	orb	wand										0	0
of Fire Bolt	100	1	1	30		30				6	36	charged	Fire Bolt	20	25										staf	orb	wand										0	0
of Ice Bolt	100	1	1	1	15	1				18	36	charged	Ice Bolt	20	3										staf	orb	wand										0	0
of Ice Bolt	100	1	1	10	35	10				12	36	charged	Ice Bolt	20	10										staf	orb	wand										0	0
of Ice Bolt	100	1	1	30		30				6	36	charged	Ice Bolt	20	25										staf	orb	wand										0	0
of Static Field	100	1	1	8	23	1				18	36	charged	Static Field	20	3										staf	orb	wand										0	0
of Static Field	100	1	1	18	43	10				12	36	charged	Static Field	20	10										staf	orb	wand										0	0
of Static Field	100	1	1	38		30				6	36	charged	Static Field	20	25										staf	orb	wand										0	0
of Telekinesis	100	1	1	8	23	1				18	36	charged	Telekinesis	20	3										staf	orb	wand										0	0
of Telekinesis	100	1	1	18	43	10				12	36	charged	Telekinesis	20	10										staf	orb	wand										0	0
of Telekinesis	100	1	1	38		30				6	36	charged	Telekinesis	20	25										staf	orb	wand										0	0
of Frost Nova	100	1	1	8	23	1				18	36	charged	Frost Nova	10	3										staf	orb	wand										0	0
of Frost Nova	100	1	1	18	43	10				12	36	charged	Frost Nova	10	10										staf	orb	wand										0	0
of Frost Nova	100	1	1	38		30				6	36	charged	Frost Nova	10	25										staf	orb	wand										0	0
of Ice Blast	100	1	1	8	23	1				18	36	charged	Ice Blast	20	3										staf	orb	wand										0	0
of Ice Blast	100	1	1	18	43	10				12	36	charged	Ice Blast	20	10										staf	orb	wand										0	0
of Ice Blast	100	1	1	38		30				6	36	charged	Ice Blast	20	25										staf	orb	wand										0	0
of Nova	100	1	1	16	31	8				18	36	charged	Nova	10	3										staf	orb	wand										0	0
of Nova	100	1	1	26	51	18				12	36	charged	Nova	10	10										staf	orb	wand										0	0
of Nova	100	1	1	46		38				6	36	charged	Nova	10	25										staf	orb	wand										0	0
of Fire Ball	100	1	1	16	31	8				18	36	charged	Fire Ball	10	3										staf	orb	wand										0	0
of Fire Ball	100	1	1	26	51	18				12	36	charged	Fire Ball	10	10										staf	orb	wand										0	0
of Fire Ball	100	1	1	46		38				6	36	charged	Fire Ball	10	25										staf	orb	wand										0	0
of Blaze	100	1	1	16	31	8				18	36	charged	Blaze	10	3										staf	orb	wand										0	0
of Blaze	100	1	1	26	51	18				12	36	charged	Blaze	10	10										staf	orb	wand										0	0
of Blaze	100	1	1	46		38				6	36	charged	Blaze	10	25										staf	orb	wand										0	0
of Lightning	100	1	1	16	31	8				18	36	charged	Lightning	20	3										staf	orb	wand										0	0
of Lightning	100	1	1	26	51	18				12	36	charged	Lightning	20	10										staf	orb	wand										0	0
of Lightning	100	1	1	46		38				6	36	charged	Lightning	20	25										staf	orb	wand										0	0
of Glacial Spike	100	1	1	24	39	16				18	36	charged	Glacial Spike	20	3										staf	orb	wand										0	0
of Glacial Spike	100	1	1	34	59	26				12	36	charged	Glacial Spike	20	10										staf	orb	wand										0	0
of Glacial Spike	100	1	1	54		46				6	36	charged	Glacial Spike	20	25										staf	orb	wand										0	0
of Teleport	100	1	1	24	39	16				18	36	charged	Teleport	20	3										staf	orb	wand										0	0
of Teleport	100	1	1	34	59	26				12	36	charged	Teleport	20	10										staf	orb	wand										0	0
of Teleport	100	1	1	54		46				6	36	charged	Teleport	20	25										staf	orb	wand										0	0
of Fire Wall	100	1	1	24	39	16				18	36	charged	Fire Wall	10	3										staf	orb	wand										0	0
of Fire Wall	100	1	1	34	59	26				12	36	charged	Fire Wall	10	10										staf	orb	wand										0	0
of Fire Wall	100	1	1	54		46				6	36	charged	Fire Wall	10	25										staf	orb	wand										0	0
of Chain Lightning	100	1	1	24	39	16				18	36	charged	Chain Lightning	20	3										staf	orb	wand										0	0
of Chain Lightning	100	1	1	34	59	26				12	36	charged	Chain Lightning	20	10										staf	orb	wand										0	0
of Chain Lightning	100	1	1	54		46				6	36	charged	Chain Lightning	20	25										staf	orb	wand										0	0
of Blizzard	100	1	1	32	47	24				18	36	charged	Blizzard	10	3										staf	orb	wand										0	0
of Blizzard	100	1	1	42	67	34				12	36	charged	Blizzard	10	10										staf	orb	wand										0	0
of Blizzard	100	1	1	62		54				6	36	charged	Blizzard	10	25										staf	orb	wand										0	0
of Meteor	100	1	1	32	47	24				18	36	charged	Meteor	10	3										staf	orb	wand										0	0
of Meteor	100	1	1	42	67	34				12	36	charged	Meteor	10	10										staf	orb	wand										0	0
of Meteor	100	1	1	62		54				6	36	charged	Meteor	10	25										staf	orb	wand										0	0
of Frozen Orb	100	1	1	40	55	32				18	36	charged	Frozen Orb	10	3										staf	orb	wand										0	0
of Frozen Orb	100	1	1	50	75	42				12	36	charged	Frozen Orb	10	10										staf	orb	wand										0	0
of Frozen Orb	100	1	1	70		62				6	36	charged	Frozen Orb	10	25										staf	orb	wand										0	0
of Hydra	100	1	1	40	55	32				18	36	charged	Hydra	20	3										staf	orb	wand										0	0
of Hydra	100	1	1	50	75	42				12	36	charged	Hydra	20	10										staf	orb	wand										0	0
of Hydra	100	1	1	70		62				6	36	charged	Hydra	20	25										staf	orb	wand										0	0
of Amplify Damage	100	1	1	1	15	1				18	36	charged	Amplify Damage	10	3										staf	orb	wand										0	0
of Amplify Damage	100	1	1	10	35	10				12	36	charged	Amplify Damage	10	10										staf	orb	wand										0	0
of Amplify Damage	100	1	1	30		30				6	36	charged	Amplify Damage	10	25										staf	orb	wand										0	0
of Teeth	100	1	1	1	15	1				18	36	charged	Teeth	20	3										staf	orb	wand										0	0
of Teeth	100	1	1	10	35	10				12	36	charged	Teeth	20	10										staf	orb	wand										0	0
of Teeth	100	1	1	30		30				6	36	charged	Teeth	20	25										staf	orb	wand										0	0
of Weaken	100	1	1	8	23	1				18	36	charged	Weaken	10	3										staf	orb	wand										0	0
of Weaken	100	1	1	18	43	10				12	36	charged	Weaken	10	10										staf	orb	wand										0	0
of Weaken	100	1	1	38		30				6	36	charged	Weaken	10	25										staf	orb	wand										0	0
of Dim Vision	100	1	1	8	23	1				18	36	charged	Dim Vision	10	3										staf	orb	wand										0	0
of Dim Vision	100	1	1	18	43	10				12	36	charged	Dim Vision	10	10										staf	orb	wand										0	0
of Dim Vision	100	1	1	38		30				6	36	charged	Dim Vision	10	25										staf	orb	wand										0	0
of Corpse Explosion	100	1	1	8	23	1				18	36	charged	Corpse Explosion	10	3										staf	orb	wand										0	0
of Corpse Explosion	100	1	1	18	43	10				12	36	charged	Corpse Explosion	10	10										staf	orb	wand										0	0
of Corpse Explosion	100	1	1	38		30				6	36	charged	Corpse Explosion	10	25										staf	orb	wand										0	0
of Iron Maiden	100	1	1	16	31	8				18	36	charged	Iron Maiden	10	3										staf	orb	wand										0	0
of Iron Maiden	100	1	1	26	51	18				12	36	charged	Iron Maiden	10	10										staf	orb	wand										0	0
of Iron Maiden	100	1	1	46		38				6	36	charged	Iron Maiden	10	25										staf	orb	wand										0	0
of Terror	100	1	1	16	31	8				18	36	charged	Terror	10	3										staf	orb	wand										0	0
of Terror	100	1	1	26	51	18				12	36	charged	Terror	10	10										staf	orb	wand										0	0
of Terror	100	1	1	46		38				6	36	charged	Terror	10	25										staf	orb	wand										0	0
of Confuse	100	1	1	24	39	16				18	36	charged	Confuse	10	3										staf	orb	wand										0	0
of Confuse	100	1	1	34	59	26				12	36	charged	Confuse	10	10										staf	orb	wand										0	0
of Confuse	100	1	1	54		46				6	36	charged	Confuse	10	25										staf	orb	wand										0	0
of Life Tap	100	1	1	24	39	16				18	36	charged	Life Tap	10	3										staf	orb	wand										0	0
of Life Tap	100	1	1	34	59	26				12	36	charged	Life Tap	10	10										staf	orb	wand										0	0
of Life Tap	100	1	1	54		46				6	36	charged	Life Tap	10	25										staf	orb	wand										0	0
of Poison Explosion	100	1	1	24	39	16				18	36	charged	Poison Explosion	10	3										staf	orb	wand										0	0
of Poison Explosion	100	1	1	34	59	26				12	36	charged	Poison Explosion	10	10										staf	orb	wand										0	0
of Poison Explosion	100	1	1	54		46				6	36	charged	Poison Explosion	10	25										staf	orb	wand										0	0
of Bone Spear	100	1	1	24	39	16				18	36	charged	Bone Spear	20	3										staf	orb	wand										0	0
of Bone Spear	100	1	1	34	59	26				12	36	charged	Bone Spear	20	10										staf	orb	wand										0	0
of Bone Spear	100	1	1	54		46				6	36	charged	Bone Spear	20	25										staf	orb	wand										0	0
of Attract	100	1	1	32	47	24				18	36	charged	Attract	10	3										staf	orb	wand										0	0
of Attract	100	1	1	42	67	34				12	36	charged	Attract	10	10										staf	orb	wand										0	0
of Attract	100	1	1	62		54				6	36	charged	Attract	10	25										staf	orb	wand										0	0
of Decrepify	100	1	1	32	47	24				18	36	charged	Decrepify	10	3										staf	orb	wand										0	0
of Decrepify	100	1	1	42	67	34				12	36	charged	Decrepify	10	10										staf	orb	wand										0	0
of Decrepify	100	1	1	62		54				6	36	charged	Decrepify	10	25										staf	orb	wand										0	0
of Lower Resist	100	1	1	40	55	32				18	36	charged	Lower Resist	10	3										staf	orb	wand										0	0
of Lower Resist	100	1	1	50	75	42				12	36	charged	Lower Resist	10	10										staf	orb	wand										0	0
of Lower Resist	100	1	1	70		62				6	36	charged	Lower Resist	10	25										staf	orb	wand										0	0
of Bone Spirit	100	1	1	40	55	32				18	36	charged	Bone Spirit	20	3										staf	orb	wand										0	0
of Bone Spirit	100	1	1	50	75	42				12	36	charged	Bone Spirit	20	10										staf	orb	wand										0	0
of Bone Spirit	100	1	1	70		62				6	36	charged	Bone Spirit	20	25										staf	orb	wand										0	0
of Poison Nova	100	1	1	40	55	32				18	36	charged	Poison Nova	10	3										staf	orb	wand										0	0
of Poison Nova	100	1	1	50	75	42				12	36	charged	Poison Nova	10	10										staf	orb	wand										0	0
of Poison Nova	100	1	1	70		62				6	36	charged	Poison Nova	10	25										staf	orb	wand										0	0
of Firestorm	100	1	1	1	15	1				18	36	charged	Firestorm	10	3										staf	orb	wand										0	0
of Firestorm	100	1	1	10	35	10				12	36	charged	Firestorm	10	10										staf	orb	wand										0	0
of Firestorm	100	1	1	30		30				6	36	charged	Firestorm	10	25										staf	orb	wand										0	0
of Molten Boulder	100	1	1	8	23	1				18	36	charged	Molten Boulder	10	3										staf	orb	wand										0	0
of Molten Boulder	100	1	1	18	43	10				12	36	charged	Molten Boulder	10	10										staf	orb	wand										0	0
of Molten Boulder	100	1	1	38		30				6	36	charged	Molten Boulder	10	25										staf	orb	wand										0	0
of Fissure	100	1	1	16	31	8				18	36	charged	Eruption	10	3										staf	orb	wand										0	0
of Fissure	100	1	1	26	51	18				12	36	charged	Eruption	10	10										staf	orb	wand										0	0
of Fissure	100	1	1	46		38				6	36	charged	Eruption	10	25										staf	orb	wand										0	0
of Twister	100	1	1	24	39	16				18	36	charged	Twister	10	3										staf	orb	wand										0	0
of Twister	100	1	1	34	59	26				12	36	charged	Twister	10	10										staf	orb	wand										0	0
of Twister	100	1	1	54		46				6	36	charged	Twister	10	25										staf	orb	wand										0	0
of Tornado	100	1	1	32	47	24				18	36	charged	Tornado	10	3										staf	orb	wand										0	0
of Tornado	100	1	1	42	67	34				12	36	charged	Tornado	10	10										staf	orb	wand										0	0
of Tornado	100	1	1	62		54				6	36	charged	Tornado	10	25										staf	orb	wand										0	0
of Volcano	100	1	1	32	47	24				18	36	charged	Volcano	10	3										staf	orb	wand										0	0
of Volcano	100	1	1	42	67	34				12	36	charged	Volcano	10	10										staf	orb	wand										0	0
of Volcano	100	1	1	62		54				6	36	charged	Volcano	10	25										staf	orb	wand										0	0
																																						
of Self-Repair	100	1	1	3		1				3	37	rep-dur	3												weap	armo						thro	miss	rod	orb		0	0
of Fast Repair	100	1	1	20		12				2	37	rep-dur	5												weap	armo						thro	miss	rod	orb		0	0
																																						
of Ages	100	1		50		42				1	39	indestruct													weap	armo						thro	miss				0	0
of Replenishing	100	1	1	5		3				6	39	rep-quant	20												thro	misl											0	0
of Propogation	100	1	1	24		18				5	39	rep-quant	50												thro	misl											0	0
																																						
of the Kraken	100	1		20		1				1	41	hp/lvl	6											cred	tors	amul	pelt	phlm									0	0
of Memory	100	1		20		1				1	41	mana/lvl	6											cred	circ	amul	pelt										0	0
of the Elephant	100	1		37		7				2	41	hp/lvl	4			mana/lvl	2							cred	circ	pelt											0	0
																																						
of Damage Amplification	100	1	1	3						1	44	hit-skill	66	5	1										weap							orb	rod				0	0
																																						
of the Moon and Stars	100										45																										0	0
of the Planets	100										45																										0	0
of the Night Sky	100										45																										0	0
of Distant Galaxies	100										45																										0	0
																																						
of Summer Heat	100										46																										0	0
of the Red Sun	100										46																										0	0
of Intensity	100										46																										0	0
of Heatwaves	100										46																										0	0
																																						
of the Wind	100										47																										0	0
of Swiftness	100										47																										0	0
of the Sail	100										47																										0	0
of the Tradewinds	100										47																										0	0
																																						
of Plagues	100	1	1	1	20	3					48	res-pois		3	10	res-pois-max		-1	-3						scha												0	0
of Malaise	100	1	1	12	35	10					48	res-pois		3	11	res-pois-max		-1	-4						scha												0	0
of Illness	100	1	1	20	40	18					48	res-pois		3	13	res-pois-max		-1	-5						scha												0	0
of Hypoxia	100	1	1	35	55	30					48	res-pois		3	14	res-pois-max		-1	-7						scha												0	0
of Ailments	100	1	1	40		35					48	res-pois		3	17	res-pois-max		-1	-8						scha												0	0
of Infection	100	1	1	55		50					48	res-pois		3	20	res-pois-max		-1	-10						scha												0	0
																																						
of Lechery	100	1	1	1	30	1					49	str		0	0	vit		1	1						mcha												0	0
of Consumption	100	1	1	9	39	8					49	str		-1	-1	vit		2	2						mcha												0	0
of Obesity	100	1	1	18		16					49	str		-2	-4	vit		3	5						mcha												0	0
																																						
of the Unholy	100	1	1	1	30	1					50	vit		0	0	enr		1	1						mcha												0	0
of the Abyss	100	1	1	9	39	8					51	vit		-1	-1	enr		2	2						mcha												0	0
of the Cross	100	1	1	18		16					51	vit		-2	-4	enr		3	5						mcha												0	0
																																						
of the Raging Bull	100	1	1	1	30	1					52	att%		-10	-15	dmg%		25	40						lcha												0	0
of Unbridled Anger	100	1	1	9	39	8					52	att%		-12	-20	dmg%		35	50						lcha												0	0
of Hatred	100	1	1	18		16					52	att%		-15	-30	dmg%		40	75						lcha												0	0
																																						
of Unnatural Strength	100	1	1	1	30	1					53	str		3	6	vit		-3	-6						mcha												0	0
of Bulging	100	1	1	9	39	8					53	str		8	12	vit		-8	-12						mcha												0	0
of Wavering Strength	100	1	1	18		16					53	str		15	25	vit		-15	-25						mcha												0	0
