index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	worldevent	*eol
Malena's Garb	141	Malena's Training Gear	stu	Studded Leather	7	1	1								3	33		ac%		150	150																																																																										0
Malena's Headgear	142	Malena's Training Gear	skp	Skull Cap	7	1	1								3	33		ac%		100	100																																																																										0
Slitthroat	143	Myranda's Leathers	7tw	Runic Talons	7	75	75	blac	blac						3	33		dmg%		150	150																																																																										0
Shutter	144	Myranda's Leathers	7qr	Scissors Suwayyah	7	75	75	blac	blac						3	33		dmg%		150	150																																																																										0
Sneakers	145	Myranda's Leathers	umb	Boneweave Boots	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Simplicity	146	Myranda's Leathers	ci2	Tiara	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Toolbelt of Thievery	147	Tools of the Thief	uvc	Vampirefang Belt	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Master Thief's Gloves	148	Tools of the Thief	umg	Vambraces	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Deadly Lockpick	149	Tools of the Thief	7bl	Legend Spike	7	75	75	blac	blac						3	33		dmg%		150	150																																																																										0
Diversion	150	Tools of the Thief	uuc	Heater	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Subterfuge	151	Tools of the Thief	usk	Demonhead	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Cloak of Darkness	152	Shadowbender's Armory	qui	Quilted Armor	7	1	1	blac	blac						3	33		ac%		100	100																																																																										0
Shadow Strike	153	Shadowbender's Armory	ktr	Katar	7	1	1	blac	blac						3	33		dmg%		150	150																																																																										0
Cover of Darkness	154	Shadowbender's Armory	buc	Buckler	7	1	1	blac	blac						3	33		ac%		100	100																																																																										0
Heft of the Mountain	155	Legacy of Arreat	uhg	Ogre Gauntlets	7	75	75								3	33		ac%		200	200																																																																										0
Heart of the Mountain	156	Legacy of Arreat	uld	Kraken Shell	7	75	75								3	33		ac%		200	200																																																																										0
Stone of the Mountain	157	Legacy of Arreat	7gm	Thunder Maul	7	75	75								3	33		dmg%		200	200																																																																										0
Shadow of the Mountain	158	Legacy of Arreat	baa	Slayer Guard	7	75	75								3	33		ac%		200	200																																																																										0
Ker's Chiseled Helm	159	Ker's Corpus	ba9	Savage Helm	7	75	75	dred	dred						3	33		ac%		200	200																																																																										0
Ker's Manifesto	160	Ker's Corpus	7sb	Elegant Blade	7	75	75	dred	dred						3	33		dmg%		150	150																																																																										0
Ker's Iron Grip	161	Ker's Corpus	7fl	Scourge	7	75	75	dred	dred						3	33		dmg%		150	150																																																																										0
Ker's Broken Band	162	Ker's Corpus	rin	Ring	7	75	75	dred	dred						3	33		dmg-max		15	15	deadly		25	25																																																																						0
Skull Basher	163	True Grit	spc	Spiked Club	7	1	1								3	33		dmg%		150	150																																																																										0
Man Flayer	164	True Grit	hax	Hand Axe	7	1	1								3	33		dmg%		150	150																																																																										0
Improvised Headgear	165	True Grit	ba1	Jawbone Cap	7	1	1								3	33		ac%		100	100																																																																										0
Beast Hides	166	True Grit	lea	Leather Armor	7	1	1								3	33		ac%		100	100																																																																										0
Summer	167	Four Seasons	ulb	Wyrmhide Boots	7	75	75								3	33		ac%		200	200																																																																										0
Winter	168	Four Seasons	uea	Wyrmhide	7	75	75								3	33		ac%		200	200																																																																										0
Autumn	169	Four Seasons	ulc	Spiderweb Sash	7	75	75								3	33		ac%		200	200																																																																										0
Spring	170	Four Seasons	dr9	Sacred Feathers	7	75	75								3	33		ac%		200	200																																																																										0
The Beast's Visage	171	Sigil of the Steel Wolf	dr6	Alpha Helm	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
The Beast's Pelt	172	Sigil of the Steel Wolf	ula	Scarab Husk	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
The Beast's Claw	173	Sigil of the Steel Wolf	7gd	Colossus Blade	7	75	75	whit	whit						3	33		dmg%		225	225																																																																										0
Mark of the Beast	174	Sigil of the Steel Wolf	amu	Amulet	7	75	75	whit	whit						3	33		res-all		25	25	ac		50	50																																																																						0
Nature's Wonder	175	Call of Nature	dr1	Wolf Head	7	1	1	lgrn	lgrn						3	33		ac%		100	100																																																																										0
Nature's Cruelty	176	Call of Nature	bar	Bardiche	7	1	1	lgrn	lgrn						3	33		dmg%		100	100																																																																										0
Nature's Awe	177	Call of Nature	hla	Hard Leather Armor	7	1	1	lgrn	lgrn						3	33		ac%		100	100																																																																										0
Ramul's Eternal Trophy	178	Ramul's Eternal Trials	neb	Minion Skull	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Ramul's Eternal Pride	179	Ramul's Eternal Trials	ci1	Coronet	7	75	75	blac	blac						3	33		ac%		200	200																																																																										0
Ramul's Eternal Savior	180	Ramul's Eternal Trials	7tk	Flying Knife	7	75	75	blac	blac						3	33		dmg%		225	225																																																																										0
The Poisoned Blade	181	Library of Undeath	dgr	Dagger	7	1	1	blac	blac						3	33		dmg%		140	140																																																																										0
The Curse of Undeath	182	Library of Undeath	bhm	Bone Helm	7	1	1	blac	blac						3	33		ac%		100	100																																																																										0
The Essence of Undeath	183	Library of Undeath	ne1	Preserved Head	7	1	1	blac	blac						3	33		ac%		100	100																																																																										0
The Cycle of Life	184	Library of Undeath	bsh	Bone Shield	7	1	1	blac	blac						3	33		ac%		100	100																																																																										0
Memory of the Light	185	Final Rites	uts	Ward	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
The Estate	186	Final Rites	ult	Hellforged Plate	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
Memoir of the Light	187	Final Rites	urn	Corona	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
Eulogy	188	Final Rites	7cr	Phase Blade	7	75	75	whit	whit						3	33		dmg%		225	225	splash	Melee Splash	15	1																																																																						0
Offering of the Blade	189	Zakarum's Offerings	flc	Falchion	7	1	1	whit	whit						3	33		dmg%		150	150	splash	Melee Splash	15	1																																																																						0
Offering of the Shield	190	Zakarum's Offerings	kit	Kite Shield	7	1	1	whit	whit						3	33		res-all		25	25																																																																										0
Offering of the Sole	191	Zakarum's Offerings	mbt	Chain Boots	7	1	1	whit	whit						3	33		ac%		100	100																																																																										0
Offering of the Hand	192	Zakarum's Offerings	mgl	Chain Gloves	7	1	1	whit	whit						3	33		ac%		100	100																																																																										0
Wintergrasp	193	Depths of Winter	utg	Crusader Gauntlets	7	75	75	whit	whit						3	33		ac%		200	200																																																																										0
Winterspell	194	Depths of Winter	6ws	Archon Staff	7	75	75	whit	whit						3	33		cast2		30	30	mana%		5	5																																																																						0
Electric Eye	195	Eye of the Storm	obe	Vortex Orb	7	75	75	cpur	cpur						3	33		extra-charged-bolts		2	2																																																																										0
Conductive Guard	196	Eye of the Storm	urg	Hyperion	7	75	75	cpur	cpur						3	33		ac%		200	200																																																																										0
Thunder Shroud	197	Eye of the Storm	uui	Dusk Shroud	7	75	75	cpur	cpur						3	33		ac%		200	200																																																																										0
Blazenrod	198	Wildfires of the West	ob6	Glowing Orb	7	75	75	oran	oran						3	33		cast2		20	20																																																																										0
Fireguard	199	Wildfires of the West	uuc	Heater	7	75	75	oran	oran						3	33		ac%		200	200	regen		10	10																																																																						0
Flamemask	200	Wildfires of the West	uh9	Bone Visage	7	75	75	oran	oran						3	33		ac%		200	200	res-all		25	25	light		2	2																																																																		0
Vindication	201	Wildfires of the West	utp	Archon Plate	7	75	75	oran	oran						3	33		ac%		200	200	abs-fire		20	20	thorns%		25	25																																																																		0
Apprentice's Staff	202	Apprentice's Satchel	lst	Long Staff	7	1	1								3	33		pierce-fire		10	10	pierce-cold		10	10	pierce-ltng		10	10																																																																		0
Apprentice's Robes	203	Apprentice's Satchel	qui	Quilted Armor	7	1	1								3	33		ac%		100	100	mana		50	50	res-fire		10	10																																																																		0
Apprentice's Headwear	204	Apprentice's Satchel	ci0	Circlet	7	1	1								3	33		ac%		100	100	mag%		75	75																																																																						0
